PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface
XY 45° Oberfläche 2h 300 °C,XY 45° Oberfläche 2h 300 °C,AHH6_RTzl707,45,3.0E-2,mm,_Split,true,20,°C,69138.4203428,MPa ,156.720638,MPa ,258.036188,MPa ,11.5883093722,%,T5,raw
XY 45° Oberfläche 2h 300 °C,XY 45° Oberfläche 2h 300 °C,AHH6_RTzl708,45,3.0E-2,mm,_Split,true,20,°C,68394.1416908,MPa ,155.498178,MPa ,258.109985,MPa ,11.5915445046,%,T5,raw
XY 45° Oberfläche 2h 300 °C,XY 45° Oberfläche 2h 300 °C,AHH6_RTzl709,45,3.0E-2,mm,_Split,true,20,°C,70928.1928795,MPa ,159.829416,MPa ,263.021986,MPa ,9.52974104087,%,T5,raw
XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl707,45,3.0E-2,mm,_Split,false,20,°C,74173.0404659,MPa ,252.292328,MPa ,369.605103,MPa ,2.57850191442,%,none,raw
XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl708,45,3.0E-2,mm,_Split,false,20,°C,70727.101781,MPa ,243.597096,MPa ,362.980376,MPa ,2.63452665442,%,none,raw
XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl709,45,3.0E-2,mm,_Split,false,20,°C,70770.4982808,MPa ,252.194611,MPa ,364.675503,MPa ,2.29621134393,%,none,raw
X 0°,X 0°,AHH5_RTzl701,0,3.0E-2,mm,_Split,false,20,°C,76827.6055725,MPa ,281.538232,MPa ,413.937293,MPa ,7.15127105689,%,none,polished
X 0°,X 0°,AHH5_RTzl702,0,3.0E-2,mm,_Split,false,20,°C,76824.3013227,MPa ,282.917501,MPa ,414.54336,MPa ,7.50357580724,%,none,polished
X 0°,X 0°,AHH5_RTzl703,0,3.0E-2,mm,_Split,false,20,°C,75033.8264207,MPa ,288.800079,MPa ,421.464175,MPa ,7.67414053882,%,none,polished
XY 45°,XY 45°,AHH5_RTzl704,45,3.0E-2,mm,_Split,false,20,°C,79114.1309648,MPa ,274.171565,MPa ,427.149546,MPa ,5.54320911549,%,none,polished
XY 45°,XY 45°,AHH5_RTzl705,45,3.0E-2,mm,_Split,false,20,°C,75371.7412957,MPa ,270.053796,MPa ,407.354831,MPa ,3.15584630389,%,none,polished
XY 45°,XY 45°,AHH5_RTzl706,45,3.0E-2,mm,_Split,false,20,°C,71825.7317341,MPa ,274.070086,MPa ,400.295477,MPa ,2.62662235408,%,none,polished
Z 90°,Z 90°,AHH5_RTzl710,90,3.0E-2,mm,_Split,false,20,°C,73471.1082161,MPa ,262.132323,MPa ,443.444656,MPa ,4.56127166866,%,none,polished
Z 90°,Z 90°,AHH5_RTzl711,90,3.0E-2,mm,_Split,false,20,°C,73887.5209854,MPa ,260.377423,MPa ,442.388825,MPa ,4.73282732793,%,none,polished
Z 90°,Z 90°,AHH5_RTzl712,90,3.0E-2,mm,_Split,false,20,°C,73951.3913404,MPa ,266.376891,MPa ,448.449182,MPa ,4.5702708797,%,none,polished
X 0° 2h 300 °C,X 0° 2h 300 °C,AHH6_RTzl701,0,3.0E-2,mm,_Split,true,20,°C,68175.7605557,MPa ,167.790416,MPa ,264.975078,MPa ,16.7904168112,%,T5,polished
X 0° 2h 300 °C,X 0° 2h 300 °C,AHH6_RTzl702,0,3.0E-2,mm,_Split,true,20,°C,71581.8901454,MPa ,167.563154,MPa ,264.532407,MPa ,17.0139041528,%,T5,polished
X 0° 2h 300 °C,X 0° 2h 300 °C,AHH6_RTzl703,0,3.0E-2,mm,_Split,true,20,°C,72508.4149916,MPa ,171.052226,MPa ,265.205197,MPa ,17.3165487276,%,T5,polished
XY 45° 2h 300 °C,XY 45° 2h 300 °C,AHH6_RTzl704,45,3.0E-2,mm,_Split,true,20,°C,73615.1562244,MPa ,165.804083,MPa ,265.824123,MPa ,16.5908336838,%,T5,polished
XY 45° 2h 300 °C,XY 45° 2h 300 °C,AHH6_RTzl705,45,3.0E-2,mm,_Split,true,20,°C,70970.654116,MPa ,167.615159,MPa ,267.510246,MPa ,16.3170993095,%,T5,polished
XY 45° 2h 300 °C,XY 45° 2h 300 °C,AHH6_RTzl706,45,3.0E-2,mm,_Split,true,20,°C,68729.3720094,MPa ,168.241803,MPa ,267.932776,MPa ,15.9588293946,%,T5,polished
