BWMD_00036_1,BWMD_00337_38,BWMD_00339_42,BWMD_00323_78,BWMD_00314_114,BWMD_00313_154
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_975cdb22-1255-468b-9182-62697b3d9d77,28.5,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_975cdb22-1255-468b-9182-62697b3d9d77,25.97,µm
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_25,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_975cdb22-1255-468b-9182-62697b3d9d77,28.5,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_25,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_975cdb22-1255-468b-9182-62697b3d9d77,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_975cdb22-1255-468b-9182-62697b3d9d77,25.97,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,28.5,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,25.97,µm
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_26,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,28.5,W
https://www.emi.fraunhofer.de/ontologies/LPBFO#Separated+Part_08086b36-d12a-4145-a045-9f024ce990f8_26,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_35cdf17d-29ae-4213-a1d8-eecd7dcc248f,25.97,µm
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#PowerXRayTube__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,28.5,W
http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#TechnologicalProduct__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ThreeDimensionalXRayComputerTomography__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#ProcessParameterSet__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,http://www.semanticweb.org/trell/ontologies/2020/10/merged_HDF5#VoxelEdgeLength__1_99f5bd39-fb26-445d-9626-bef2b7a761a9,25.97,µm
