Idx,PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface,CO2value_LPBF,CO2value_PartSet,CO2value_PL,CO2value_HT,CO2value_Sep,CO2value_waste,CO2value
0,Statisch 0° - Static_8 - Nr. 1,Statisch 0° - Static_8 - Nr. 1,AHH1_RTzl701,0,0.09,mm,______Standard_160324_only_up,False,20,°C,73734.0442677,MPa ,242.93013,MPa ,343.881348,MPa ,1.96952691222,%,none,polished,10.99,1.39,0.0,0.0,0.03,0.66,13.07
1,Statisch 0° - Static_8 - Nr. 1,Statisch 0° - Static_8 - Nr. 1,AHH1_RTzl702,0,0.09,mm,______Standard_160324_only_up,False,20,°C,74205.159826,MPa ,241.442611,MPa ,350.877936,MPa ,2.42186351825,%,none,polished,10.99,1.39,0.0,0.0,0.03,0.66,13.07
2,Statisch 0° - Static_8 - Nr. 1,Statisch 0° - Static_8 - Nr. 1,AHH1_RTzl703,0,0.09,mm,______Standard_160324_only_up,False,20,°C,73956.3408955,MPa ,253.61498500000002,MPa ,368.066561,MPa ,2.63934817523,%,none,polished,10.99,1.39,0.0,0.0,0.03,0.66,13.07
3,MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH3_RTzl701,0,0.09,mm,______Standard_160324_only_up,False,20,°C,69009.164206,MPa ,136.71135900000002,MPa ,248.929189,MPa ,6.0411349450900005,%,T5,polished,10.99,1.39,0.0,4.62,0.03,0.66,17.69
4,MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH3_RTzl702,0,0.09,mm,______Standard_160324_only_up,False,20,°C,69613.8928691,MPa ,137.249322,MPa ,251.192156,MPa ,5.9915270857300005,%,T5,polished,10.99,1.39,0.0,4.62,0.03,0.66,17.69
5,MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH3_RTzl703,0,0.09,mm,______Standard_160324_only_up,False,20,°C,68891.51503080002,MPa ,138.157455,MPa ,254.62575099999998,MPa ,6.666266630499999,%,T5,polished,10.99,1.39,0.0,4.62,0.03,0.66,17.69
6,MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH4_RTzl701,0,0.09,mm,______Standard_160324_only_up,False,20,°C,69380.28542999999,MPa ,227.605011,MPa ,273.418363,MPa ,6.020278164,%,T6,polished,10.99,1.39,0.0,64.06,0.03,0.66,77.13
7,MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH4_RTzl702,0,0.09,mm,______Standard_160324_only_up,False,20,°C,71904.73065,MPa ,224.89491600000002,MPa ,270.596252,MPa ,6.797638018,%,T6,polished,10.99,1.39,0.0,64.06,0.03,0.66,77.13
8,MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH4_RTzl703,0,0.09,mm,______Standard_160324_only_up,False,20,°C,71227.69287,MPa ,219.058318,MPa ,264.305609,MPa ,6.3072692560000005,%,T6,polished,10.99,1.39,0.0,64.06,0.03,0.66,77.13
9,X 0°,X 0°,AHH5_RTzl701,0,0.03,mm,_Split,False,20,°C,76827.6055725,MPa ,281.538232,MPa ,413.937293,MPa ,7.151271056889999,%,none,polished,10.99,1.39,0.0,0.0,0.03,0.66,13.07
