PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface,CO2value_LPBF,CO2value_PartSet,CO2value_PL,CO2value_HT,CO2value_Sep,CO2value_waste,CO2value
Statisch 0° - Static_8 - Nr. 1,Statisch 0° - Static_8 - Nr. 1,AHH1_RTzl701,0,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.3734E+11,MPa ,24293013,MPa ,343881348,MPa ,1.96953E+11,%,none,polished,1099,139,0,0,3,66,1307
Statisch 0° - Static_8 - Nr. 1,Statisch 0° - Static_8 - Nr. 1,AHH1_RTzl702,0,9,mm,______Standard_160324_only_up,FALSCH,20,°C,74205159826,MPa ,241442611,MPa ,350877936,MPa ,2.42186E+11,%,none,polished,1099,139,0,0,3,66,1307
Statisch 0° - Static_8 - Nr. 1,Statisch 0° - Static_8 - Nr. 1,AHH1_RTzl703,0,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.39563E+11,MPa ,2.53615E+16,MPa ,368066561,MPa ,2.63935E+11,%,none,polished,1099,139,0,0,3,66,1307
MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH3_RTzl701,0,9,mm,______Standard_160324_only_up,FALSCH,20,°C,69009164206,MPa ,1.36711E+16,MPa ,248929189,MPa ,6.04113E+16,%,T5,polished,1099,139,0,462,3,66,1769
MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH3_RTzl702,0,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.96139E+11,MPa ,137249322,MPa ,251192156,MPa ,5.99153E+16,%,T5,polished,1099,139,0,462,3,66,1769
MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH3_RTzl703,0,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.88915E+15,MPa ,138157455,MPa ,2.54626E+16,MPa ,6.66627E+15,%,T5,polished,1099,139,0,462,3,66,1769
MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH4_RTzl701,0,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.93803E+15,MPa ,227605011,MPa ,273418363,MPa ,6020278164,%,T6,polished,1099,139,0,6406,3,66,7713
MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH4_RTzl702,0,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7190473065,MPa ,2.24895E+16,MPa ,270596252,MPa ,6797638018,%,T6,polished,1099,139,0,6406,3,66,7713
MEF-2 17-03-01 0°,MEF-2 17-03-01 0°,AHH4_RTzl703,0,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7122769287,MPa ,219058318,MPa ,264305609,MPa ,6.30727E+16,%,T6,polished,1099,139,0,6406,3,66,7713
X 0°,X 0°,AHH5_RTzl701,0,3,mm,_Split,FALSCH,20,°C,7.68276E+11,MPa ,281538232,MPa ,413937293,MPa ,7.15127E+15,%,none,polished,1099,139,0,0,3,66,1307
